TINY TREK BOM - OVERVIEW,,,,,,,,,
,,,,,,,,,
Qty,Printed Parts,Notes,URL,,,,,,,
1,Car Chassis,,See Github Repo - https://github.com/sixvolts/TinyTrek/tree/main/hardware/3DModels/TinyTrekV1pt5.stl,,,,,,,
1,Battery Holder,m12_flashlight_lower_body,https://www.printables.com/model/96306-milwaukee-m12-flashlight-with-adjustable-head,,,,,,,
1,Battery Extension,,See Github Repo - https://github.com/sixvolts/TinyTrek/tree/main/hardware/3DModels/battExtender.stl,,,,,,,
1,Camera Board Bracket,OPTIONAL,See Github Repo - https://github.com/sixvolts/TinyTrek/tree/main/hardware/3DModels/camBracket.stl,,,,,,,
1,Snap Connector Bracket,OPTIONAL,See Github Repo - https://github.com/sixvolts/TinyTrek/tree/main/hardware/3DModels/snapConnectorBracket.stl,,,,,,,
,,,,,,,,,
Qty,Board Assemblies,Notes,URL,,,,,,,
2,Motor Control Boards,,See Tab,,,,,,,
1,Power Distribution Board,,See Tab,,,,,,,
1,Ultrasonic Sensor Board,OPTIONAL,See Tab,,,,,,,
,,,,,,,,,
Qty,Sourced Parts,Notes,Vendor,URL,,,,,,
1,Raspberry Pi 4 2GB,,Any,https://amzn.to/4hxqbwt,,,,,,
1,Waveshare 2 CAN-FD Hat,,Amazon/Any,https://amzn.to/45wxLQJ,,,,,,
1,DF Robot Camera Board,OPTIONAL,DF Robot,https://www.dfrobot.com/product-2899.html,,,,,,
2,NEMA 14 Motors,,Pololu,https://www.pololu.com/product/1208,,,,,,
1,Set of Pololu Wheels,,Pololu,https://www.pololu.com/product/1423,,,,,,
2,Set of Pololu Wheel Adapters,,Pololu,https://www.pololu.com/product/1998,,,,,,
1,Polulu Ball Caster,,Pololu,https://www.pololu.com/product/2692,,,,,,
1,A2-class MicroSD Card (32 or 64GB),,Amazon,https://amzn.to/4wpFISF,,,,,,
1,M12-compatible Battery,,Amazon,https://amzn.to/45vU49i,,,,,,
,,,,,,,,,
Qty,Wiring,Notes,Vendor,URL,,,,,,
1,"20AWG Wire in Red, Black, Blue, Yellow, Green",,,https://amzn.to/4hyI51X,,,,,,
1,Pre-twisted Yellow/Green CAN bus wire,OPTIONAL,,https://amzn.to/45vBL46,,,,,,
bulk,22AWG Ferules,OPTIONAL,,https://amzn.to/4x4SIhW,,,,,,
bulk,20AWG Ferrules,OPTIONAL,,https://amzn.to/3RXuozg,,,,,,
bulk,26AWG Ferules (motor wires),,,https://amzn.to/3RU7hpj,,,,,,
2,6.3mm Male Spade connectors,,,https://amzn.to/4g9kO47,,,,,,
1,Power Switch,,,https://amzn.to/4bLJb6N,,,,,,
1,Green Snap Connectors (CAN Debug),OPTIONAL,,https://amzn.to/3UBK6kd,,,,,,
1,Yellow Snap Connectors (CAN Debug),OPTIONAL,,https://amzn.to/4ww65qc,,,,,,
,,,,,,,,,
Qty,Fasteners,Notes,Vendor,URL,,,,,,
4,m2.5 hex nuts,,,https://amzn.to/4qkaVFv,,,,,,
4,m2.5 screws 6mm,,,https://amzn.to/4hvW3Sa,,,,,,
4,m2.5 standoff screws 15mm + 6mm,,,https://amzn.to/4g8AOU4,,,,,,
35,m3 x 6mm screws,,,https://amzn.to/45uvhT2,,,,,,
14,m3 x 8mm screws,,,https://amzn.to/4qtf5ej,,,,,,
3,m3 x 10mm screws,,,https://amzn.to/3TQgqzN,,,,,,
3,m3 x 12mm screws,,,https://amzn.to/45tFwa8 ,,,,,,
10,M3 x 16mm standoffs,,,https://amzn.to/4x82v6W,,,,,,
6,M3 x 8mm standoffs,OPTIONAL,,https://amzn.to/4hMrLL1,,,,,,
1,M2.5 Standoff Kit,OPTIONAL,,https://amzn.to/4x1SQP9 ,,,,,,
1,M3 Screw Kit,OPTIONAL,,https://amzn.to/4xO2Xap,,,,,,
1,CA Glue,,,https://amzn.to/4iwZQyW,,,,,,
bulk,"4"" zipties",,,https://amzn.to/4gFGFRa,,,,,,
,,,,,,,,,
Qty,Tools (Recommended),Notes,Vendor,URL,,,,,,
1,Soldering Iron - Pinecil,,,https://amzn.to/4qmH0wy,,,,,,
1,Solder - MG 63/37,,,https://amzn.to/4gjxhT6,,,,,,
1,flush cutters,,,https://amzn.to/4gh0IoE,,,,,,
1,tweezers,,,https://amzn.to/4hD1fUo,,,,,,
1,Ferrule Crimper,OPTIONAL,,https://amzn.to/4qnEbLN,,,,,,
1,spade connector crimper,OPTIONAL,,https://amzn.to/3UlB2jG,,,,,,
1,wire strippers,,,https://amzn.to/4zOb4Wi,,,,,,
1,Hot Glue gun,OPTIONAL,,https://amzn.to/4g9WNtS,,,,,,
1,Hot glue sticks,OPTIONAL,,https://amzn.to/4gwMVdL,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
* Amazon links are affiliate links.,,,,,,,,,
